date;number_of_available_bikes
2024-08-15;2098
2024-08-16;2087
2024-08-17;2057
2024-08-18;2079
2024-08-19;2107
2024-08-20;2119
2024-08-21;2129
2024-08-22;2132
2024-08-23;2116
2024-08-24;2080
2024-08-25;2084
2024-08-26;2104
2024-08-27;2129
2024-08-28;2116
2024-08-29;2126
2024-08-30;2096
2024-08-31;2077
2024-09-01;2065
2024-09-02;2087
2024-09-03;2085
2024-09-04;2074
2024-09-05;2060
2024-09-06;1995
2024-09-09;2015
2024-09-10;2018
2024-09-11;2003
2024-09-12;2008
2024-09-13;2014
2024-09-14;2005
2024-09-15;2000
2024-09-16;1994
2024-09-17;2005
2024-09-18;2022
2024-09-19;2018
2024-09-20;2016
2024-09-21;2037
2024-09-22;2028
2024-09-23;2067
2024-09-24;2035
2024-09-25;2055
2024-09-26;2049
2024-09-27;2060
2024-09-28;2093
2024-09-29;2087
2024-09-30;2103
2024-10-01;2121
2024-10-02;2085
2024-10-03;2056
2024-10-04;2059
2024-10-05;2038
2024-10-06;2051
2024-10-07;2055
2024-10-08;2069
2024-10-09;2075
2024-10-10;2098
2024-10-11;2029
2024-10-12;2050
2024-10-13;2027
2024-10-14;2060
2024-10-15;2059
2024-10-16;2052
2024-10-17;2009
2024-10-18;2036
2024-10-19;2040
2024-10-20;2018
2024-10-21;2029
2024-10-26;2010
2024-10-27;2015
2024-10-28;2007
2024-10-29;1987
2024-10-30;2002
2024-10-31;1991
2024-11-01;1927
2024-11-02;1907
2024-11-03;1918
2024-11-04;1960
2024-11-05;1925
2024-11-06;1938
2024-11-07;1946
2024-11-08;1982
2024-11-09;1766
2024-11-10;1768
2024-11-11;1753
2024-11-12;1747
2024-11-13;1722
2024-11-14;1685
2024-11-15;1694
2024-11-19;1619
2024-11-20;1702
2024-11-21;1740
2024-11-22;1796
2024-11-23;1795
2024-11-24;1791
2024-11-25;1822
2024-11-26;1828
2024-11-27;1840
2024-11-28;1881
2024-11-29;1927
2024-11-30;1904
2024-12-01;1854
2024-12-02;1905
2024-12-03;1899
2024-12-04;1893
2024-12-05;1921
2024-12-06;1932
2024-12-07;1866
2024-12-08;1900
2024-12-09;1873
2024-12-10;1908
2024-12-11;1911
2024-12-12;1928
2024-12-13;1889
2024-12-14;1887
2024-12-15;1910
2024-12-16;1931
2024-12-17;1929
2024-12-18;1958
2024-12-19;1975
2024-12-20;1959
2024-12-21;1897
2024-12-22;1878
2024-12-23;1880
2024-12-24;1856
2024-12-25;1843
2024-12-26;1849
2024-12-27;1865
2024-12-28;1831
2024-12-29;1848
2024-12-30;1800
2024-12-31;1800
2025-01-01;1789
2025-01-02;1780
2025-01-03;1807
2025-01-04;1785
2025-01-05;1717
2025-01-06;1741
2025-01-07;1742
2025-01-08;1704
2025-01-09;1647
2025-01-10;1660
2025-01-11;1625
2025-01-12;1592
2025-01-13;1656
2025-01-14;1642
2025-01-15;1636
2025-01-16;1655
2025-01-17;1656
2025-01-18;1577
2025-01-19;1553
2025-01-20;1657
2025-01-21;1593
2025-01-22;1643
2025-01-23;1657
2025-01-24;1683
2025-01-25;1677
2025-01-26;1673
2025-01-27;1729
2025-01-28;1700
2025-01-29;1702
2025-01-30;1708
2025-01-31;1726
2025-02-01;1733
2025-02-02;1751
2025-02-03;1825
2025-02-04;1874
2025-02-05;1894
2025-02-06;1882
2025-02-07;1936
2025-02-08;1924
2025-02-09;1906
2025-02-10;1976
2025-02-11;1982
2025-02-12;1967
2025-02-13;2016
2025-02-14;2024
2025-02-15;2011
2025-02-16;1951
2025-02-17;2054
2025-02-18;2058
2025-02-19;2080
2025-02-20;2073
2025-02-21;2086
2025-02-22;2073
2025-02-23;2052
2025-02-24;2052
2025-02-25;1959
2025-02-26;1942
2025-02-27;1889
2025-02-28;1882
2025-03-01;1882
2025-03-02;1895
2025-03-03;1888
2025-03-04;1891
2025-03-05;1884
2025-03-06;1867
2025-03-07;1844
2025-03-08;1852
2025-03-09;1823
2025-03-10;1855
2025-03-11;1846
2025-03-12;1799
2025-03-13;1835
2025-03-14;1819
2025-03-15;1786
2025-03-16;1806
2025-03-17;1820
2025-03-18;1818
2025-03-19;1805
2025-03-20;1803
2025-03-21;1821
2025-03-22;1808
2025-03-23;1774
2025-03-24;1794
2025-03-25;1789
2025-03-26;1786
